Surat Persetujuan Penghapusan dari Direksi,,,,,Penjualan Aset 2019 umur eko sd 5th.pdf,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan ,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan (Jual Lelang/Hapus Administrasi),Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3
1,120507000035,KANTOR PUSAT ,KANTOR PUSAT,12101,Pompa Sirkulasi Air Ac Sentral,Instalasi Fasipel,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.900.000,,,,31/12/2020,,,
2,120508000092,REGION BALI NUSRA,BENOA,12404,Kijang Innova G 2.0 DK 301 PI,Kendaraan,Rp49.350.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp105.800.000,Ya,,Jual Lelang,31/12/2020,96.181.818,105.806.000,TR.04.06 85 RBNT-2020-Laporan penjualan aset penghapusbukuan thn 2019.pdf
3,120508000091,REGION BALI NUSRA,BENOA,12404,Kijang Innova G 2.0 DK 302 PI,Kendaraan,Rp49.350.000,0,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp102.700.000,ya,,Jual Lelang,31/12/2020,93.363.636,102.706.000,TR.04.06 85 RBNT-2020-Laporan penjualan aset penghapusbukuan thn 2019.pdf
4,120508000066,REGION JAWA,GRESIK,12209,Mobil Avanza W 1021 AG atau W 632 BA,Kendaraan,Rp24.211.427,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp77.000.000,,,,31/12/2020,,,
5,7281,KANTOR PUSAT ,KANTOR PUSAT,12101,Nissan Serena HWS,Kendaraan,Rp9.090.000,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp75.800.000,,,,31/12/2020,,,
6,120508000004,KANTOR PUSAT ,KANTOR PUSAT,12101,Mobil Keamanan Izuzu,Kendaraan,Rp21.281.818,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp54.000.000,,,,31/12/2020,,,
7,120507000030,KANTOR PUSAT ,KANTOR PUSAT,12101,AC Gedung Direksi,Peralatan M/E Gedung,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp67.600.000,,,,31/12/2020,,,
8,120507000031,KANTOR PUSAT ,KANTOR PUSAT,12101,AC Ruang Komputer KANTOR PUSAT,Peralatan M/E Gedung,Rp2,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.200.000,,,,31/12/2020,,,
9,120504003369,KANTOR PUSAT ,KANTOR PUSAT,12101,Wheel Loader,Alat-alat Fasipel,Rp1.028.746,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp65.800.000,,,,31/12/2020,,,
13,120504000133,REGION JAWA,TANJUNG INTAN,12305,Forklift Toyota,Alat-alat Fasipel,Rp876.339,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp15.900.000,Ya,,Jual Lelang,31/12/2020,18.365.473,20.202.020,LAPORAN HASIL LELANG TH 2021
